AB,Type,Defect,Atom,Site,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A-rich),Delta_H (B-rich)
AlSb,III-V,Al_i_neut,Al,M_i_neut,,,-0.19,0.24,0.84,1.31,1.68,1.96,,,3.24,3.6
AlSb,III-V,Ab_i_A,Ab,M_i_A,,,0.14,0.54,0.82,1.16,1.49,1.78,,,4.15,3.79
AlSb,III-V,Sb_i_B,Sb,M_i_B,,,0.24,0.57,0.78,1.08,1.23,1.56,,,4.66,4.3
AlSb,III-V,Sb_i_neut,Sb,M_i_neut,,,1.36,1.65,2.79,3.05,3.41,3.68,,,4.07,3.71
GaN,III-V,V_Ga,V,M_A,,,-1.51,-0.89,-0.22,0.9,1.74,2.44,,,7.25,1.12
GaN,III-V,V_N,V,M_B,,,-0.44,-0.35,1.93,2.61,3.32,3.83,,,2.68,8.82
GaN,III-V,Ga_N,Ga,M_B,,,-0.06,0.48,1.46,2.14,2.79,4.13,,,5.63,17.9
GaN,III-V,N_Ga,N,M_A,,,-1.67,0.29,0.46,2.58,3.24,3.25,,,9.34,-2.92
GaN,III-V,Ga_i_A,Ga,M_i_A,,,0.83,1.43,2.6,3.42,4.36,5.07,,,9.3,15.43
GaN,III-V,Ga_i_B,Ga,M_i_B,,,1,1.91,3,3.55,4.28,5.06,,,8.65,14.79
GaN,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.91,2.36,2.46,3.31,4.26,4.98,,,8.77,14.9
GaN,III-V,N_i_A,N,M_i_A,,,-1.19,-0.55,0.07,1.67,2.54,3.26,,,8.35,2.22
GaN,III-V,N_i_B,N,M_i_B,,,-0.98,-0.97,1.85,1.86,2.69,3.72,,,9.45,3.32
GaN,III-V,N_i_neut,N,M_i_neut,,,-1.25,0.57,1.67,1.69,3.47,4.4,,,8.05,1.92
GaP,III-V,V_Ga,V,M_A,,,-1.09,-0.73,-0.25,0.11,0.49,0.87,,,4.4,3.59
GaP,III-V,V_P,V,M_B,,,-0.03,-0.02,0.75,0.96,1.25,1.55,,,2.65,3.47
GaP,III-V,Ga_P,Ga,M_B,,,-0.58,-0.19,0.18,0.57,0.97,2.35,,,1.85,3.48
GaP,III-V,P_Ga,P,M_A,,,-0.85,0.42,0.82,1.65,2.16,2.52,,,3.57,1.94
GaP,III-V,Ga_i_A,Ga,M_i_A,,,-0.7,-0.21,1.53,1.93,2.36,2.64,,,3.55,4.36
GaP,III-V,Ga_i_B,Ga,M_i_B,,,-0.21,0.26,1.56,1.99,2.38,2.71,,,3.55,4.36
GaP,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.19,0.41,1.3,1.76,2.21,2.52,,,4.49,5.31
GaP,III-V,P_i_A,P,M_i_A,,,0.09,0.54,0.87,1.37,1.75,2.09,,,6.16,5.35
GaP,III-V,P_i_B,P,M_i_B,,,0.18,0.68,1.31,1.59,2.07,2.46,,,6.01,5.2
GaP,III-V,P_i_neut,P,M_i_neut,,,-0.69,-0.36,1.42,1.71,2.04,2.4,,,5.16,4.35
GaAs,III-V,V_Ga,V,M_A,, ,-1.05,-0.79,-0.5,-0.18,0.02,0.34,,,3.23,2.53
GaAs,III-V,V_As,V,M_B,,,-0.03,-0.02,0.24,0.32,0.49,0.68,,,2.56,3.26
GaAs,III-V,Ga_As,Ga,M_B,,,-0.78,-0.42,-0.14,0.11,0.4,1.31,,,1.35,2.76
GaAs,III-V,As_Ga,As,M_A,,,-0.7,-0.15,0.29,1.01,1.52,1.75,,,2.65,1.23
GaAs,III-V,Ga_i_A,Ga,M_i_A,,,-0.66,-0.42,0.75,1.37,1.57,1.78,,,2.38,3.08
GaAs,III-V,Ga_i_B,Ga,M_i_B,,,-0.42,-0.11,0.84,1.41,1.63,1.8,,,2.62,3.32
GaAs,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.36,0.06,0.77,1.2,1.54,1.78,,,3.53,4.24
GaAs,III-V,As_i_A,As,M_i_A,,,-0.05,0.4,0.66,0.95,1.22,1.45,,,5.06,4.35
GaAs,III-V,As_i_B,As,M_i_B,,,0.08,0.44,0.83,1.14,1.25,1.46,,,5.3,4.59
GaAs,III-V,As_i_neut,As,M_i_neut,,,-0.64,-0.37,0.74,1.19,1.44,1.67,,,4.46,3.75
GaSb,III-V,V_Ga,V,M_A,,,-0.89,-0.71,-0.47,-0.2,-0.02,0.3,,,2.02,1.68
GaSb,III-V,V_Sb,V,M_B,,,-0.06,-0.06,-0.06,-0.05,0.1,0.25,,,2.55,2.89
GaSb,III-V,Ga_Sb,Ga,M_B,,,-0.71,-0.56,-0.26,-0.11,0.2,0.76,,,0.77,1.45
GaSb,III-V,Sb_Ga,Sb,M_A,,,-0.39,0.03,0.39,0.75,1.13,1.28,,,1.98,1.3
GaSb,III-V,Ga_i_A,Ga,M_i_A,,,-0.59,-0.26,0.37,0.93,1.09,1.25,,,1.33,1.67
GaSb,III-V,Ga_i_B,Ga,M_i_B,,,-0.55,-0.19,0.47,1.02,1.18,1.31,,,1.65,1.99
GaSb,III-V,Ga_i_neut,Ga,M_i_neut,,,-0.39,-0.16,0.41,0.83,1.09,1.25,,,2.45,2.79
GaSb,III-V,Ab_i_A,Ab,M_i_A,,,-0.04,0.42,0.62,0.81,1.04,1.22,,,4.07,3.73
GaSb,III-V,Sb_i_B,Sb,M_i_B,,,0.1,0.4,0.73,0.99,1.17,1.33,,,4.42,4.08
GaSb,III-V,Sb_i_neut,Sb,M_i_neut,,,-0.38,-0.22,0.44,0.95,1.09,1.25,,,3.75,3.4
InN,III-V,V_In,V,M_A,,,-0.91,-0.53,0,0.55,1.11,1.45,,,6.23,1.19
InN,III-V,V_N,V,M_B,,,-0.06,-0.05,0.73,1.24,1.92,2.29,,,1.32,6.35
InN,III-V,In_N,In,M_B,,,0.36,0.79,1.07,1.6,1.93,2.4,,,4.45,14.52
InN,III-V,N_In,N,M_A,,,-1.07,0.06,0.78,1.09,1.59,2.45,,,7.77,-2.3
InN,III-V,In_i_A,In,M_i_A,,,0.3,0.9,1.8,2.16,2.53,2.85,,,5.77,10.81
InN,III-V,In_i_B,In,M_i_B,,,0.15,0.75,1.62,2,2.49,2.84,,,4.66,9.69
InN,III-V,In_i_neut,In,M_i_neut,,,0.11,0.72,1.44,2.1,2.45,2.8,,,4.52,9.56
InN,III-V,N_i_A,N,M_i_A,,,-0.87,-0.45,-0.08,1.02,1.55,2.03,,,5.73,0.7
InN,III-V,N_i_B,N,M_i_B,,,-0.25,-0.25,0.02,1.09,1.52,2.14,,,6.16,1.13
InN,III-V,N_i_neut,N,M_i_neut,,,-0.68,-0.49,0.73,1.24,1.24,2.43,,,6,0.96
InP,III-V,V_In,V,M_A,,,-0.83,-0.59,-0.27,0.01,0.32,0.52,,,4.32,3.87
InP,III-V,V_P,V,M_B,,,0.3,0.3,0.63,0.78,0.99,1.23,,,2.12,2.57
InP,III-V,In_P,In,M_B,,,-0.1,0.16,0.41,0.72,1.01,1.94,,,2.07,2.99
InP,III-V,P_In,P,M_A,,,-0.71,0.28,0.58,1.39,1.72,2,,,2.72,1.8
InP,III-V,In_i_A,In,M_i_A,,,-0.17,0.23,1.34,1.7,1.97,2.31,,,3.19,3.65
InP,III-V,In_i_B,In,M_i_B,,,0.19,0.54,1.33,1.71,1.98,2.34,,,3.14,3.59
InP,III-V,In_i_neut,In,M_i_neut,,,0.15,0.58,1.28,1.65,1.93,2.15,,,4.12,4.57
InP,III-V,P_i_A,P,M_i_A,,,0.15,0.46,0.65,1.14,1.48,1.73,,,4.79,4.33
InP,III-V,P_i_B,P,M_i_B,,,0.31,0.64,1.28,1.39,1.76,2.1,,,4.53,4.07
InP,III-V,P_i_neut,P,M_i_neut,,,-0.38,-0.11,1.17,1.53,1.85,2.17,,,3.74,3.29
InAs,III-V,V_In,V,M_A,,,-0.83,-0.59,-0.35,-0.11,0.1,0.39,,,3.38,2.87
InAs,III-V,V_As,V,M_B,,,0.28,0.28,0.29,0.42,0.59,0.78,,,2.05,2.56
InAs,III-V,In_As,In,M_B,,,-0.26,-0.02,0.22,0.45,0.68,1.36,,,1.58,2.6
InAs,III-V,As_In,As,M_A,,,-0.59,-0.17,0.19,0.93,1.23,1.51,,,2.06,1.04
InAs,III-V,In_i_A,In,M_i_A,,,-0.38,-0.06,0.84,1.15,1.44,1.79,,,2.16,2.67
InAs,III-V,In_i_B,In,M_i_B,,,-0.12,0.22,0.82,1.16,1.4,1.78,,,2.16,2.67
InAs,III-V,In_i_neut,In,M_i_neut,,,-0.04,0.34,0.84,1.15,1.41,1.74,,,3.08,3.59
InAs,III-V,As_i_A,As,M_i_A,,,0.04,0.39,0.64,0.9,1.21,1.45,,,3.87,3.36
InAs,III-V,As_i_B,As,M_i_B,,,0.12,0.41,0.86,1.1,1.35,1.6,,,3.78,3.27
InAs,III-V,As_i_neut,As,M_i_neut,,,-0.47,-0.13,0.75,1.08,1.35,1.69,,,3.23,2.72
InSb,III-V,V_In,V,M_A,,,-0.83,-0.7,-0.43,-0.19,0,0.29,,,2.35,2.07
InSb,III-V,V_Sb,V,M_B,,,0.1,0.1,0.1,0.1,0.13,0.42,,,2.17,2.46
InSb,III-V,In_Sb,In,M_B,,,-0.61,-0.3,-0.06,0.12,0.34,0.88,,,1.11,1.67
InSb,III-V,Sb_In,Sb,M_A,,,-0.47,-0.13,0.25,0.66,1.03,1.22,,,1.57,1.01
InSb,III-V,In_i_A,In,M_i_A,,,-0.5,-0.21,0.49,0.93,1.17,1.31,,,1.28,1.56
InSb,III-V,In_i_B,In,M_i_B,,,-0.37,-0.15,0.53,0.95,1.18,1.33,,,1.43,1.71
InSb,III-V,In_i_neut,In,M_i_neut,,,-0.24,0,0.53,0.93,1.16,1.3,,,2.3,2.58
InSb,III-V,Ab_i_A,Ab,M_i_A,,,0.02,0.37,0.62,0.8,1,1.22,,,3.19,2.91
InSb,III-V,Sb_i_B,Sb,M_i_B,,,0.1,0.36,0.66,0.94,1.15,1.31,,,3.24,2.96
InSb,III-V,Sb_i_neut,Sb,M_i_neut,,,-0.37,-0.15,0.5,0.91,1.12,1.3,,,2.87,2.59
C,IV-IV,V_C,V,M_A,,,-2.5,-0.44,0.72,1.77,3.78,5.05,,,6.69,6.7
C,IV-IV,C_i_A,C,M_i_A,,,-1.7,1.43,2.72,3.77,4.93,6.01,,,21.31,21.31
C,IV-IV,C_i_neut,C,M_i_neut,,,-2.02,1.36,1.36,1.37,1.37,0,,,18.79,18.79
Si,IV-IV,V_Si,V,M_A,,,-0.93,-0.37,-0.04,0.3,0.56,0.74,,,3.46,3.46
Si,IV-IV,Si_i_A,Si,M_i_A,,,-0.61,0.32,0.69,1.01,1.28,1.61,,,3.86,3.86
Si,IV-IV,Si_i_neut,Si,M_i_neut,,,-0.64,-0.31,0.1,0.91,1.31,1.58,,,3.81,3.81
Ge,IV-IV,V_Ge,V,M_A,,,-0.9,-0.79,-0.49,-0.32,-0.02,0.11,,,2.27,2.28
Ge,IV-IV,Ge_i_A,Ge,M_i_A,,,-0.39,-0.04,0.51,0.73,0.9,1.08,,,3.07,3.06
Ge,IV-IV,Ge_i_neut,Ge,M_i_neut,,,-0.48,-0.26,0.07,0.4,0.89,1.06,,,3.46,3.45
Sn,IV-IV,V_Sn,V,M_A,,,-0.91,-0.7,-0.58,-0.35,-0.18,-0.03,,,1.61,1.61
Sn,IV-IV,Sn_i_A,Sn,M_i_A,,,-0.28,-0.1,0.35,0.52,0.67,0.86,,,1.77,1.78
Sn,IV-IV,Sn_i_neut,Sn,M_i_neut,,,-0.38,-0.15,0.06,0.36,0.54,0.74,,,2.41,2.41
SiC,IV-IV,V_Si,V,M_A,,,-1.4,-0.65,0.17,0.76,2.06,2.83,,,7.62,7.21
SiC,IV-IV,V_C,V,M_B,,,-1.35,0.99,1.54,2.06,2.43,3,,,4.47,4.88
SiC,IV-IV,C_Si,C,M_A,,,-1.62,-1.07,-0.34,1.94,2.89,3.52,,,3.9,3.06
SiC,IV-IV,Si_C,Si,M_B,,,-0.71,-0.14,0.36,2.23,3.16,3.72,,,3.99,4.82
SiC,IV-IV,C_i_A,C,M_i_A,,,-1.17,0.17,1.66,1.91,2.69,3.37,,,9.91,9.49
SiC,IV-IV,C_i_B,C,M_i_B,,,-0.11,0.88,1.79,2.32,2.33,2.33,,,11.34,10.92
SiC,IV-IV,C_i_neut,C,M_i_neut,,,-0.58,0.87,1.69,2.26,3.08,3.58,,,9.53,9.11
SiC,IV-IV,Si_i_A,Si,M_i_A,,,0.38,1.43,2.21,2.68,3.16,3.88,,,11.23,11.65
SiC,IV-IV,Si_i_B,Si,M_i_B,,,0.71,1.35,1.89,2.44,3.05,3.89,,,9.5,9.92
SiC,IV-IV,Si_i_neut,Si,M_i_neut,,,0.72,1.48,2.54,2.54,2.96,3.62,,,10.41,10.83
GeC,IV-IV,V_Ge,V,M_A,,,-1.23,0.47,0.48,1.03,1.3,1.5,,,5.03,5.78
GeC,IV-IV,V_C,V,M_B,,,-1.27,0.39,0.85,1.45,1.8,2.3,,,3.52,2.78
GeC,IV-IV,C_Ge,C,M_A,,,-1.55,-1.08,-0.42,1.97,2.74,3.15,,,2.08,3.57
GeC,IV-IV,Ge_C,Ge,M_B,,,-0.86,-0.46,0.11,2.27,2.95,3.48,,,3.18,1.68
GeC,IV-IV,C_i_A,C,M_i_A,,,-1.02,0.31,0.86,1.42,2.43,2.93,,,9.06,9.8
GeC,IV-IV,C_i_B,C,M_i_B,,,-0.36,0.88,1.52,1.53,1.53,5.78,,,9.8,10.55
GeC,IV-IV,C_i_neut,C,M_i_neut,,,-0.07,0.55,1.14,2.21,2.95,3.39,,,8.03,8.78
GeC,IV-IV,Ge_i_A,Ge,M_i_A,,,-0.67,1.51,2.22,2.62,2.98,3.56,,,12.08,11.33
GeC,IV-IV,Ge_i_B,Ge,M_i_B,,,0.27,1.23,2.04,2.55,3.05,3.53,,,11.51,10.77
GeC,IV-IV,Ge_i_neut,Ge,M_i_neut,,,-0.55,1.44,1.58,2.29,2.96,3.39,,,11.67,10.92
SnC,IV-IV,V_Sn,V,M_A,,,-1.08,0.1,0.11,0.24,0.4,0.51,,,4.52,6.02
SnC,IV-IV,V_C,V,M_B,,,-0.89,0.27,0.54,0.9,1.3,1.55,,,2.57,1.06
SnC,IV-IV,C_Sn,C,M_A,,,-1.15,-0.82,-0.36,1.17,1.6,1.99,,,2.39,5.41
SnC,IV-IV,Sn_C,Sn,M_B,,,-0.29,-0.02,0.36,1.73,2.18,2.48,,,4.08,1.07
SnC,IV-IV,C_i_A,C,M_i_A,,,-0.65,0.05,0.48,0.84,1.77,2.18,,,6.66,8.17
SnC,IV-IV,C_i_B,C,M_i_B,,,-0.28,-0.28,1.23,1.24,2.01,2.58,,,5.89,7.39
SnC,IV-IV,C_i_neut,C,M_i_neut,,,-1.13,-1.13,1.76,1.76,2.13,2.59,,,5.89,7.39
SnC,IV-IV,Sn_i_A,Sn,M_i_A,,,0.01,1.26,1.89,1.9,2.37,2.55,,,10.59,9.08
SnC,IV-IV,Sn_i_B,Sn,M_i_B,,,0.45,0.98,1.61,2,2.36,2.65,,,9.88,8.37
SnC,IV-IV,Sn_i_neut,Sn,M_i_neut,,,0.03,1.13,1.46,1.88,2.21,2.5,,,10.4,8.89
SiGe,IV-IV,V_Si,V,M_A,,,-0.85,-0.36,-0.35,-0.29,-0.15,0.02,,,3.26,3.35
SiGe,IV-IV,V_Ge,V,M_B,,,-0.97,-0.55,-0.36,-0.06,0.21,0.44,,,3.56,3.46
SiGe,IV-IV,Ge_Si,Ge,M_A,,,-0.94,-0.68,-0.2,0.76,1.15,1.46,,,-0.29,-0.1
SiGe,IV-IV,Si_Ge,Si,M_B,,,-0.97,-0.72,-0.22,0.74,1.11,1.44,,,0.19,0
SiGe,IV-IV,Ge_i_A,Ge,M_i_A,,,-0.53,0.37,0.65,1.01,1.35,1.6,,,3.52,3.61
SiGe,IV-IV,Ge_i_B,Ge,M_i_B,,,-0.54,0.29,0.7,0.95,1.2,1.46,,,3.87,3.96
SiGe,IV-IV,Ge_i_neut,Ge,M_i_neut,,,-0.56,0.29,0.51,0.86,1.23,1.49,,,3.7,3.8
SiGe,IV-IV,Si_i_A,Si,M_i_A,,,-0.56,0.29,0.6,0.93,1.31,1.53,,,3.77,3.68
SiGe,IV-IV,Si_i_B,Si,M_i_B,,,-0.58,0.24,0.65,0.91,1.12,1.38,,,4.23,4.14
SiGe,IV-IV,Si_i_neut,Si,M_i_neut,,,-0.58,0.2,0.23,0.84,1.19,1.44,,,3.8,3.7
SiSn,IV-IV,V_Si,V,M_A,,,-0.96,-0.76,-0.5,-0.36,-0.06,0.15,,,3.11,3.45
SiSn,IV-IV,V_Sn,V,M_B,,,-1,-0.79,-0.48,-0.3,0.03,0.24,,,3.75,3.41
SiSn,IV-IV,Sn_Si,Sn,M_A,,,-0.73,-0.53,-0.12,0.66,1.01,1.42,,,-0.58,0.1
SiSn,IV-IV,Si_Sn,Si,M_B,,,-0.91,-0.68,-0.27,0.52,0.85,1.25,,,0.52,-0.16
SiSn,IV-IV,Sn_i_A,Sn,M_i_A,,,-0.46,0.3,0.63,0.97,1.22,1.44,,,2.79,3.13
SiSn,IV-IV,Sn_i_B,Sn,M_i_B,,,-0.41,0.31,0.71,0.98,1.18,1.23,,,3.23,3.57
SiSn,IV-IV,Sn_i_neut,Sn,M_i_neut,,,-0.42,-0.11,0.32,0.72,1.14,1.44,,,3.45,3.79
SiSn,IV-IV,Si_i_A,Si,M_i_A,,,-0.52,0.08,0.45,0.75,1.03,1.22,,,2.9,2.56
SiSn,IV-IV,Si_i_B,Si,M_i_B,,,-0.49,0.14,0.6,0.86,1.11,1.29,,,3.8,3.46
SiSn,IV-IV,Si_i_neut,Si,M_i_neut,,,-0.74,-0.74,0.58,0.65,0.97,1.25,,,3.03,2.69
GeSn,IV-IV,V_Ge,V,M_A,,,-0.71,-0.53,-0.38,-0.19,0.05,0.12,,,2.28,2.33
GeSn,IV-IV,V_Sn,V,M_B,,,-0.83,-0.62,-0.49,-0.25,-0.01,0.08,,,2.33,2.28
GeSn,IV-IV,Sn_Ge,Sn,M_A,,,-0.47,-0.34,-0.02,0.24,0.78,0.94,,,0.02,0.13
GeSn,IV-IV,Ge_Sn,Ge,M_B,,,-0.57,-0.4,-0.1,0.15,0.67,0.87,,,0.19,0.08
GeSn,IV-IV,Sn_i_A,Sn,M_i_A,,,-0.21,0.05,0.53,0.73,0.88,1.06,,,2.3,2.36
GeSn,IV-IV,Sn_i_B,Sn,M_i_B,,,-0.15,0.08,0.59,0.79,0.92,1.1,,,2.47,2.53
GeSn,IV-IV,Sn_i_neut,Sn,M_i_neut,,,-0.12,-0.02,0.26,0.5,0.83,1.01,,,3.13,3.19
GeSn,IV-IV,Ge_i_A,Ge,M_i_A,,,-0.25,-0.02,0.43,0.65,0.8,0.95,,,2.09,2.04
GeSn,IV-IV,Ge_i_B,Ge,M_i_B,,,-0.21,-0.01,0.49,0.68,0.83,1.03,,,2.33,2.28
GeSn,IV-IV,Ge_i_neut,Ge,M_i_neut,,,-0.36,-0.1,0.16,0.39,0.79,0.96,,,2.58,2.52